[Angel]
(99, 99, 99)

[Devil]
(0, 74, 4)
(0, 103, 62)
(0, 199, 61)
(1, 73, 190)
(2, 34, 155)
(2, 40, 17)
(2, 65, 109)
(2, 88, 162)
(2, 118, 175)
(2, 128, 180)
(2, 136, 12)
(2, 144, 169)
(3, 8, 19)
(3, 15, 174)
(3, 117, 128)
(3, 163, 123)
(4, 66, 60)
(4, 72, 181)
(4, 136, 139)
(4, 161, 157)
(5, 27, 72)
(5, 64, 197)
(5, 93, 45)
(5, 104, 115)
(5, 121, 152)
(5, 123, 198)
(5, 159, 29)
(6, 8, 98)
(6, 70, 27)
(6, 161, 108)
(7, 1, 6)
(7, 23, 189)
(7, 48, 150)
(7, 85, 151)
(7, 146, 31)
(7, 146, 134)
(7, 149, 148)
(8, 23, 75)
(8, 35, 164)
(8, 81, 28)
(8, 82, 6)
(8, 141, 135)
(8, 157, 99)
(8, 193, 26)
(9, 144, 45)
(10, 93, 180)
(10, 96, 59)
(10, 129, 86)
(11, 145, 73)
(11, 196, 10)
(12, 48, 72)
(12, 67, 15)
(12, 102, 126)
(12, 148, 1)
(13, 56, 155)
(13, 70, 136)
(13, 73, 33)
(13, 84, 79)
(13, 90, 45)
(13, 94, 188)
(13, 175, 71)
(13, 193, 11)
(14, 89, 41)
(14, 100, 132)
(14, 117, 57)
(14, 127, 42)
(14, 129, 133)
(14, 175, 161)
(15, 10, 60)
(15, 12, 24)
(15, 13, 132)
(15, 32, 15)
(15, 42, 38)
(15, 53, 199)
(15, 63, 105)
(15, 63, 156)
(15, 97, 43)
(15, 101, 17)
(15, 166, 118)
(15, 187, 190)
(16, 33, 63)
(16, 51, 120)
(16, 71, 63)
(16, 74, 34)
(16, 81, 75)
(16, 129, 144)
(17, 46, 110)
(17, 109, 95)
(17, 118, 107)
(17, 137, 150)
(17, 146, 180)
(17, 150, 59)
(18, 43, 48)
(18, 45, 77)
(18, 62, 158)
(18, 130, 128)
(19, 1, 21)
(19, 47, 69)
(19, 99, 54)
(19, 177, 192)
(19, 188, 170)
(20, 26, 199)
(20, 35, 122)
(20, 47, 27)
(20, 88, 191)
(20, 126, 2)
(20, 171, 116)
(20, 185, 54)
(20, 194, 108)
(20, 195, 165)
(21, 0, 153)
(21, 11, 194)
(21, 16, 147)
(21, 29, 72)
(21, 44, 119)
(21, 113, 2)
(21, 133, 198)
(22, 25, 189)
(22, 54, 19)
(22, 101, 21)
(22, 194, 3)
(22, 198, 82)
(23, 13, 195)
(23, 14, 7)
(23, 26, 111)
(23, 85, 162)
(23, 129, 41)
(24, 103, 191)
(24, 177, 33)
(24, 188, 110)
(25, 53, 62)
(25, 114, 118)
(25, 137, 14)
(25, 143, 67)
(25, 146, 4)
(26, 18, 148)
(26, 38, 150)
(26, 147, 61)
(26, 189, 198)
(27, 8, 180)
(27, 73, 171)
(27, 141, 80)
(27, 164, 91)
(28, 71, 173)
(28, 180, 35)
(28, 197, 159)
(29, 7, 55)
(29, 26, 129)
(29, 152, 89)
(29, 163, 131)
(29, 185, 90)
(30, 7, 64)
(30, 123, 192)
(30, 128, 169)
(30, 158, 138)
(30, 161, 36)
(30, 162, 85)
